model__n_neighbors,model__metric,credit_f1,college_f1,diabetes_f1,penguins_f1,mean_f1
1,euclidean,0.7804743845369604,0.8332911319260761,0.5744739149896587,0.9857142857142858,0.7934884292917452
2,euclidean,0.7446870589761678,0.8034798848159298,0.4819860622480562,0.9857142857142858,0.7539668229386098
3,euclidean,0.8399606801013754,0.8451496931440531,0.619668352400071,0.9894736842105264,0.8235631024640064
4,euclidean,0.8101875261403908,0.8093467600798283,0.5744506069848697,0.9894736842105264,0.7958646443539038
5,euclidean,0.829706276768572,0.8274957090785973,0.6034495400123882,0.9894736842105264,0.8125313025175209
6,euclidean,0.8260968234260263,0.8094260104446518,0.5791668051836119,0.9894736842105264,0.8010408308162041
7,euclidean,0.8385346219550132,0.8146767204185416,0.6321063526587742,0.9894736842105264,0.8186978448107137
8,euclidean,0.8263244986865906,0.7893399488833172,0.610074193337524,0.9894736842105264,0.8038030812794895
9,euclidean,0.8406942560323273,0.8080081080516928,0.6385139931126118,0.993103448275862,0.8200799513681234
10,euclidean,0.833388132034167,0.8017912203631875,0.5938491412757206,0.993103448275862,0.8055329854872342
11,euclidean,0.8451285323122008,0.819694870774254,0.6441857768953202,0.993103448275862,0.8255281570644093
12,euclidean,0.8379398247058456,0.8048960984979221,0.619486504279131,0.993103448275862,0.8138564689396901
13,euclidean,0.8416720675300094,0.8246616684317349,0.6242823062032425,0.993103448275862,0.8209298726102123
14,euclidean,0.8351716534356106,0.8128968867041599,0.5855548263516146,0.993103448275862,0.8066817036918119
15,euclidean,0.8415690396901396,0.8253287129725049,0.6174880052711968,0.993103448275862,0.8193723015524259
16,euclidean,0.8300468265933507,0.8093338469416305,0.6070439780109944,0.993103448275862,0.8098820249554595
17,euclidean,0.8354724345806313,0.819162324805814,0.6334727671850038,1.0,0.8220268816428622
18,euclidean,0.83241417312057,0.8040058943899162,0.6144427830870458,0.993103448275862,0.8109915747183485
19,euclidean,0.8371343840997236,0.8103987156473466,0.6409674265745903,0.993103448275862,0.8204009936493806
20,euclidean,0.8342511143690672,0.7959512045802696,0.6010638356295315,0.993103448275862,0.8060924007136827
21,euclidean,0.8355296282641624,0.7977182866029657,0.618517068717181,0.993103448275862,0.8112171079650428
22,euclidean,0.8319430493166843,0.7872737352737353,0.6198569702898389,0.993103448275862,0.8080443007890301
23,euclidean,0.8331232465281115,0.8001858145957084,0.6381561833680554,0.993103448275862,0.8161421731919343
24,euclidean,0.8338356732301545,0.7893452370161032,0.6072875444438174,0.993103448275862,0.8058929757414843
25,euclidean,0.8416177153700861,0.801196194897544,0.6253719927687388,0.993103448275862,0.8153223378280576
26,euclidean,0.8352610964406855,0.7813685973867969,0.6260797458708443,0.9857142857142858,0.807105931353153
27,euclidean,0.8410735652234574,0.7783316383333447,0.6364646758793527,0.9894736842105264,0.8113358909116702
28,euclidean,0.8269645492475762,0.7772350935036109,0.6159625175172512,0.9894736842105264,0.8024089611197411
29,euclidean,0.8295470950194674,0.7880583044393469,0.618304803539951,0.9894736842105264,0.8063459718023228
30,euclidean,0.8282920193166872,0.7790273635299814,0.6020190244929655,0.9894736842105264,0.79970302288754
1,manhattan,0.7762646727695721,0.8319526665443535,0.5664042717440776,0.9894736842105264,0.7910238238171324
2,manhattan,0.7326154198965258,0.7995322321638111,0.4666235945208224,0.9894736842105264,0.7470612326979215
3,manhattan,0.8385078114920012,0.8422663712345685,0.5935705931495405,0.9894736842105264,0.8159546150216591
4,manhattan,0.8235137108079084,0.8155356212873974,0.5448777829802497,0.9894736842105264,0.7933501998215204
5,manhattan,0.8386469718051371,0.8333219824880038,0.6090683722373547,0.9894736842105264,0.8176277526852554
6,manhattan,0.8269237940306196,0.8082576470490348,0.5762175283518918,0.9894736842105264,0.8002181634105181
7,manhattan,0.8453157699330955,0.8088351605682051,0.6400823003415694,0.993103448275862,0.8218341697796832
8,manhattan,0.8241747947112088,0.7961522762153613,0.5950360615352197,0.993103448275862,0.8021166451844131
9,manhattan,0.8446698469425742,0.8078753050125054,0.6333979398210897,0.993103448275862,0.8197616350130079
10,manhattan,0.8288382342373378,0.7995369961063832,0.5896213019708697,0.993103448275862,0.8027749951476133
11,manhattan,0.8419580503889638,0.8192907914830588,0.6400280692581622,0.993103448275862,0.8235950898515116
12,manhattan,0.838710399564335,0.8163043903852276,0.6136370005189413,0.993103448275862,0.8154388096860916
13,manhattan,0.8407746378925907,0.8327286847257908,0.6346045932270366,0.993103448275862,0.82530284103032
14,manhattan,0.8372114690899852,0.8091026211891827,0.6100489325530563,0.993103448275862,0.8123666177770217
15,manhattan,0.842409211719176,0.8239546068710345,0.6292997590224523,0.993103448275862,0.8221917564721313
16,manhattan,0.8354523566168564,0.8006746279729586,0.6068407256366739,0.993103448275862,0.8090177896255877
17,manhattan,0.840584539949068,0.81207591391199,0.6155691566694657,0.993103448275862,0.8153332647015965
18,manhattan,0.8354029651504579,0.8005034639028985,0.6045091992654448,0.9894736842105264,0.8074723281323318
19,manhattan,0.8372453423632951,0.8041778357402304,0.6248510008654463,0.9894736842105264,0.8139369657948745
20,manhattan,0.8327344169647801,0.7903921884695336,0.5989471037366673,0.9894736842105264,0.8028868483453768
21,manhattan,0.8367470126552095,0.7993615378961085,0.6176641344316055,0.9894736842105264,0.8108115922983624
22,manhattan,0.8304712627357071,0.7871835002591194,0.5963278168635638,0.9857142857142858,0.799924216393169
23,manhattan,0.8355869877484935,0.798325948569851,0.6083635836049187,0.9857142857142858,0.8069977014093872
24,manhattan,0.8347628656593609,0.7945889143946411,0.6079997641980012,0.9857142857142858,0.8057664574915723
25,manhattan,0.8339969034335407,0.7974947596006295,0.6209588381481318,0.9857142857142858,0.8095411967241469
26,manhattan,0.8345775715852692,0.7797581006666456,0.6093131973817361,0.9818181818181818,0.8013667628629583
27,manhattan,0.8376545107487555,0.7817783325155906,0.6251010445872174,0.9857142857142858,0.8075620433914623
28,manhattan,0.8343727191028039,0.7847427194761869,0.6107326317963063,0.9818181818181818,0.8029165630483698
29,manhattan,0.8334283115823682,0.791745278095447,0.6104261485912702,0.9818181818181818,0.8043544800218169
30,manhattan,0.8369387218089935,0.7855206701858156,0.6139547630303885,0.9818181818181818,0.804558084210845
1,chebyshev,0.708756213307537,0.834868626246948,0.5536393463053828,0.928960943257185,0.7565562822792633
2,chebyshev,0.6883656225648435,0.7963089307834958,0.47386024139200184,0.928960943257185,0.7218739344993815
3,chebyshev,0.6917110698802358,0.8306882798965163,0.5867099310423249,0.932463768115942,0.7603932622337548
4,chebyshev,0.6911330389736423,0.8028923894629157,0.5224965734078937,0.932463768115942,0.7372464424900984
5,chebyshev,0.663711494764281,0.8080905522649479,0.6098679447570063,0.9518233522917363,0.7583733360194929
6,chebyshev,0.663711494764281,0.7980608584893838,0.5565335291642082,0.9518233522917363,0.7425323086774023
7,chebyshev,0.6415336633263756,0.8007772498176611,0.6177153441757112,0.96,0.755006564329937
8,chebyshev,0.6415336633263756,0.7700454968846344,0.5757466594346027,0.96,0.7368314549114031
9,chebyshev,0.6237907235059778,0.780660132288319,0.6172026895864728,0.96,0.7454133863451924
10,chebyshev,0.6237907235059778,0.759075164175227,0.5856277005795845,0.96,0.7321233970651972
11,chebyshev,0.6186750985315236,0.7622710930351072,0.6120836599689612,0.96,0.738257462883898
12,chebyshev,0.6186750985315236,0.7004638146705533,0.569784620081702,0.9292307692307693,0.7045385756286371
13,chebyshev,0.6168048625268736,0.7137645261500536,0.598129133575627,0.9335849056603773,0.7155708569782329
14,chebyshev,0.6168048625268736,0.6414817014892849,0.5937913798243243,0.9292307692307693,0.695327178267813
15,chebyshev,0.6149089806309916,0.7031936332014915,0.6006910218478192,0.9377777777777778,0.71414285336452
16,chebyshev,0.6149089806309916,0.6446281477375504,0.5870148330979251,0.947008547008547,0.6983901271187536
17,chebyshev,0.6149089806309916,0.7052103177631797,0.5915589638482975,0.951048951048951,0.7156818033228549
18,chebyshev,0.6149089806309916,0.6936490314575737,0.5827589260136984,0.9418181818181818,0.7082837799801114
19,chebyshev,0.6150715192122227,0.6582760691576794,0.5930204909751694,0.9578093306288032,0.7060443524934686
20,chebyshev,0.6150715192122227,0.6078790334428001,0.5864611005692599,0.953103448275862,0.6906287753750362
21,chebyshev,0.6158391959798994,0.6137577763107839,0.5804524905686177,0.9578093306288032,0.6919646983720261
22,chebyshev,0.6158391959798994,0.5782755148559237,0.5952434676174765,0.9589443869981569,0.687075641362864
23,chebyshev,0.6158391959798994,0.5991407481607155,0.5988714040111038,0.9668052446434283,0.6951641481987868
24,chebyshev,0.6158391959798994,0.5755027971130574,0.5960730068913687,0.9589443869981569,0.6865898467456206
25,chebyshev,0.6158391959798994,0.5726410651324525,0.5889172202605383,0.9632985234277649,0.6851740012001637
26,chebyshev,0.6158391959798994,0.535090538147122,0.5888760149577977,0.9668052446434283,0.6766527484320619
27,chebyshev,0.6158391959798994,0.5877128022697197,0.5991826625386997,0.9668052446434283,0.6923849763579368
28,chebyshev,0.6164584538855895,0.5634687590693395,0.5998237900413301,0.9632985234277649,0.685762381606006
29,chebyshev,0.6164584538855895,0.5818947509589687,0.5960350235569993,0.9632985234277649,0.6894216879573306
30,chebyshev,0.6164584538855895,0.5574520964672283,0.5925228055851732,0.9589443869981569,0.681344435734037
1,minkowski,0.7804743845369604,0.8332911319260761,0.5744739149896587,0.9857142857142858,0.7934884292917452
2,minkowski,0.7446870589761678,0.8034798848159298,0.4819860622480562,0.9857142857142858,0.7539668229386098
3,minkowski,0.8399606801013754,0.8451496931440531,0.619668352400071,0.9894736842105264,0.8235631024640064
4,minkowski,0.8101875261403908,0.8093467600798283,0.5744506069848697,0.9894736842105264,0.7958646443539038
5,minkowski,0.829706276768572,0.8274957090785973,0.6034495400123882,0.9894736842105264,0.8125313025175209
6,minkowski,0.8260968234260263,0.8094260104446518,0.5791668051836119,0.9894736842105264,0.8010408308162041
7,minkowski,0.8385346219550132,0.8146767204185416,0.6321063526587742,0.9894736842105264,0.8186978448107137
8,minkowski,0.8263244986865906,0.7893399488833172,0.610074193337524,0.9894736842105264,0.8038030812794895
9,minkowski,0.8406942560323273,0.8080081080516928,0.6385139931126118,0.993103448275862,0.8200799513681234
10,minkowski,0.833388132034167,0.8017912203631875,0.5938491412757206,0.993103448275862,0.8055329854872342
11,minkowski,0.8451285323122008,0.819694870774254,0.6441857768953202,0.993103448275862,0.8255281570644093
12,minkowski,0.8379398247058456,0.8048960984979221,0.619486504279131,0.993103448275862,0.8138564689396901
13,minkowski,0.8416720675300094,0.8246616684317349,0.6242823062032425,0.993103448275862,0.8209298726102123
14,minkowski,0.8351716534356106,0.8128968867041599,0.5855548263516146,0.993103448275862,0.8066817036918119
15,minkowski,0.8415690396901396,0.8253287129725049,0.6174880052711968,0.993103448275862,0.8193723015524259
16,minkowski,0.8300468265933507,0.8093338469416305,0.6070439780109944,0.993103448275862,0.8098820249554595
17,minkowski,0.8354724345806313,0.819162324805814,0.6334727671850038,1.0,0.8220268816428622
18,minkowski,0.83241417312057,0.8040058943899162,0.6144427830870458,0.993103448275862,0.8109915747183485
19,minkowski,0.8371343840997236,0.8103987156473466,0.6409674265745903,0.993103448275862,0.8204009936493806
20,minkowski,0.8342511143690672,0.7959512045802696,0.6010638356295315,0.993103448275862,0.8060924007136827
21,minkowski,0.8355296282641624,0.7977182866029657,0.618517068717181,0.993103448275862,0.8112171079650428
22,minkowski,0.8319430493166843,0.7872737352737353,0.6198569702898389,0.993103448275862,0.8080443007890301
23,minkowski,0.8331232465281115,0.8001858145957084,0.6381561833680554,0.993103448275862,0.8161421731919343
24,minkowski,0.8338356732301545,0.7893452370161032,0.6072875444438174,0.993103448275862,0.8058929757414843
25,minkowski,0.8416177153700861,0.801196194897544,0.6253719927687388,0.993103448275862,0.8153223378280576
26,minkowski,0.8352610964406855,0.7813685973867969,0.6260797458708443,0.9857142857142858,0.807105931353153
27,minkowski,0.8410735652234574,0.7783316383333447,0.6364646758793527,0.9894736842105264,0.8113358909116702
28,minkowski,0.8269645492475762,0.7772350935036109,0.6159625175172512,0.9894736842105264,0.8024089611197411
29,minkowski,0.8295470950194674,0.7880583044393469,0.618304803539951,0.9894736842105264,0.8063459718023228
30,minkowski,0.8282920193166872,0.7790273635299814,0.6020190244929655,0.9894736842105264,0.79970302288754
